ToiletID,URL,Name,Address1,Town,State,Postcode,Parking,BabyChange,Latitude,Longitude
17121,https://toiletmap.gov.au/toilet/17121,Union Street Park,Union Street,Armadale,Victoria,3143,FALSE,FALSE,-37.858761,145.0232944
17123,https://toiletmap.gov.au/toilet/17123,Phoenix Park,Rob Roy Road,Malvern East,Victoria,3145,TRUE,TRUE,-37.87998904,145.0815064
17127,https://toiletmap.gov.au/toilet/17127,Lake Narracan,Sullivans Track,Newborough,Victoria,3825,TRUE,FALSE,-38.16393321,146.3176592
17131,https://toiletmap.gov.au/toilet/17131,Rose Garden,Ann Street,Morwell,Victoria,3840,TRUE,FALSE,-38.23695203,146.3903192
17133,https://toiletmap.gov.au/toilet/17133,Centenary Gardens,21 Main Street,Yinnar,Victoria,3869,TRUE,FALSE,-38.32194551,146.3275219
17135,https://toiletmap.gov.au/toilet/17135,Glendonald Park,Amaroo Drive,Churchill,Victoria,3842,TRUE,TRUE,-38.31943141,146.4225932
17136,https://toiletmap.gov.au/toilet/17136,The Mall,310 Bell Street,Heidelberg West,Victoria,3081,TRUE,TRUE,-37.74982,145.041735
17137,https://toiletmap.gov.au/toilet/17137,Mathison Park,McDonald Way,Churchill,Victoria,3842,TRUE,FALSE,-38.30223253,146.4240387
17160,https://toiletmap.gov.au/toilet/17160,Federation Park,Western Highway,Stawell,Victoria,3380,TRUE,FALSE,-37.06068199,142.7567502
17162,https://toiletmap.gov.au/toilet/17162,Elmore,Railway Place,Elmore,Victoria,3558,TRUE,FALSE,-36.49392503,144.608643
17164,https://toiletmap.gov.au/toilet/17164,Goornong,Midland Highway,Goornong,Victoria,3557,TRUE,FALSE,-36.61441455,144.506488
17166,https://toiletmap.gov.au/toilet/17166,Strathfieldsaye,Blucher Street,Strathfieldsaye,Victoria,3551,TRUE,FALSE,-36.805812,144.358267
17168,https://toiletmap.gov.au/toilet/17168,Heathcote Comfort Station,Barrack Street,Heathcote,Victoria,3523,TRUE,FALSE,-36.92378554,144.7108284
17170,https://toiletmap.gov.au/toilet/17170,Heathcote,Camp Street,Heathcote,Victoria,3523,TRUE,FALSE,-36.92359851,144.7088608
17174,https://toiletmap.gov.au/toilet/17174,Bendigo (Multi Storey Car Park),Hargreaves Street,Bendigo,Victoria,3550,TRUE,FALSE,-36.75888271,144.2812747
17216,https://toiletmap.gov.au/toilet/17216,Gasworks Skate Park,Point Lonsdale Road,Point Lonsdale,Victoria,3225,TRUE,FALSE,-38.27270671,144.6247648
17218,https://toiletmap.gov.au/toilet/17218,Santa Casa Beach,Henry Street,Queenscliff,Victoria,3225,TRUE,FALSE,-38.27130528,144.6491765
17220,https://toiletmap.gov.au/toilet/17220,Point Lonsdale Back Beach,Ocean Road,Point Lonsdale,Victoria,3225,TRUE,FALSE,-38.28851767,144.6046315
17269,https://toiletmap.gov.au/toilet/17269,Court House,353 High Street,Melton,Victoria,3337,TRUE,TRUE,-37.68363624,144.582725
17271,https://toiletmap.gov.au/toilet/17271,McKenzie Street,92 Mckenzie Street,Melton,Victoria,3337,TRUE,FALSE,-37.68419271,144.5828546
17273,https://toiletmap.gov.au/toilet/17273,Navan Park,Centenary Avenue,Melton West,Victoria,3337,TRUE,FALSE,-37.67249159,144.569436
17275,https://toiletmap.gov.au/toilet/17275,Mount Carberry,29-41 Exford Road,Melton South,Victoria,3338,TRUE,FALSE,-37.70685785,144.5736578
17277,https://toiletmap.gov.au/toilet/17277,Wallace Square,High Street,Melton,Victoria,3337,TRUE,FALSE,-37.68352513,144.5828174
17320,https://toiletmap.gov.au/toilet/17320,Nhill Lake,Campbell Street,Nhill,Victoria,3418,TRUE,FALSE,-36.33736,141.652435
17333,https://toiletmap.gov.au/toilet/17333,Toilet 146 : Swanston Street & Victoria Street,Swanston Street,Melbourne,Victoria,,FALSE,FALSE,-37.80686945,144.9626567
17368,https://toiletmap.gov.au/toilet/17368,Ferndale Park,Glen Iris Road,Glen Iris,Victoria,3146,TRUE,FALSE,-37.855895,145.066965
17370,https://toiletmap.gov.au/toilet/17370,Ruffy Recreation Reserve,Noye Lane,Ruffy,Victoria,3666,TRUE,FALSE,-36.9675365,145.5160081
17390,https://toiletmap.gov.au/toilet/17390,Maling Road Shopping Centre,8-8A Bryson Street,Canterbury,Victoria,3126,FALSE,FALSE,-37.82495634,145.0821843
17400,https://toiletmap.gov.au/toilet/17400,Beaconsfield Comfort Station Asset ID 24543,Wood Street,Beaconsfield,Victoria,3807,TRUE,FALSE,-38.04533311,145.3674273
17404,https://toiletmap.gov.au/toilet/17404,Garfield Ritchie Street Asset ID 341,Ritchie Street,Garfield,Victoria,3814,TRUE,FALSE,-38.09271561,145.6767706
17408,https://toiletmap.gov.au/toilet/17408,Tynong Railway Avenue Asset ID 24560,Railway Ave,Tynong,Victoria,3813,TRUE,FALSE,-38.08454367,145.6260022
17586,https://toiletmap.gov.au/toilet/17586,Noorat,17 Terang Mortlake Road,Noorat,Victoria,3265,TRUE,TRUE,-38.19206877,142.9279163
17608,https://toiletmap.gov.au/toilet/17608,Toilet 4 : Market Street & Collins Street,Market Street & Collins Street,Melbourne,Victoria,3000,FALSE,FALSE,-37.81756139,144.9603089
17616,https://toiletmap.gov.au/toilet/17616,Alex Nelson Reserve,Harold Road,Springvale South,Victoria,3172,FALSE,FALSE,-37.97533499,145.1542489
17622,https://toiletmap.gov.au/toilet/17622,Barry J Powell Reserve,Halton Road,Noble Park North,Victoria,3174,FALSE,FALSE,-37.95414418,145.1925911
17626,https://toiletmap.gov.au/toilet/17626,Booth Reserve,Clow Street,Dandenong,Victoria,3175,FALSE,FALSE,-37.98554352,145.2288193
17628,https://toiletmap.gov.au/toilet/17628,Coomoora Reserve,Coomoora Road,Keysborough,Victoria,3173,FALSE,FALSE,-37.98316485,145.149595
17632,https://toiletmap.gov.au/toilet/17632,Dandenong Park,Pultney Street,Dandenong,Victoria,3175,FALSE,FALSE,-37.99147213,145.2164617
17634,https://toiletmap.gov.au/toilet/17634,Duggan Reserve,Browns Road,Noble Park North,Victoria,3174,FALSE,FALSE,-37.94656523,145.1887502
17636,https://toiletmap.gov.au/toilet/17636,Edinburgh Reserve,Edinburgh Road,Springvale,Victoria,3171,FALSE,FALSE,-37.93634589,145.1672904
17638,https://toiletmap.gov.au/toilet/17638,Fotheringham Reserve,Alexander Avenue,Dandenong,Victoria,3175,FALSE,FALSE,-37.97152848,145.1956666
17642,https://toiletmap.gov.au/toilet/17642,Norman Luth Reserve,Heritage Drive,Springvale,Victoria,3171,FALSE,FALSE,-37.95433928,145.1412083
17646,https://toiletmap.gov.au/toilet/17646,Police Paddocks Pavilions,250 Brady Road,Endeavour Hills,Victoria,3802,FALSE,FALSE,-37.95801532,145.2389834
17650,https://toiletmap.gov.au/toilet/17650,Warner Reserve,Furnew Street,Springvale,Victoria,3171,FALSE,FALSE,-37.9435366,145.1566056
17652,https://toiletmap.gov.au/toilet/17652,Wachter Reserve,Wahroonga Avenue,Keysborough,Victoria,3173,FALSE,FALSE,-37.98484561,145.1744935
17658,https://toiletmap.gov.au/toilet/17658,Shepley Oval,Pultney Street,Dandenong,Victoria,3175,FALSE,FALSE,-37.99580838,145.2227452
17668,https://toiletmap.gov.au/toilet/17668,Toilet 128 : Princes Park Playground,Princes Park Drive,Carlton North,Victoria,3054,FALSE,FALSE,-37.78561764,144.9630322
17670,https://toiletmap.gov.au/toilet/17670,Toilet 127 : Princes Park North,Royal Parade,Parkville,Victoria,3052,FALSE,FALSE,-37.77894591,144.9604687
17672,https://toiletmap.gov.au/toilet/17672,Toilet 136 : Ievers Reserve,42 Flemington Road,Parkville,Victoria,3052,FALSE,FALSE,-37.79666881,144.9519625
17674,https://toiletmap.gov.au/toilet/17674,Toilet 106 : Government House Drive (Kings Domain),"Government House Drive, Kings Domain",Melbourne,Victoria,3000,FALSE,FALSE,-37.8269196,144.9746481
17676,https://toiletmap.gov.au/toilet/17676,Toilet 173 : JJ Holland Park 2,Kensington Road & Childers Street,Kensington,Victoria,3031,FALSE,FALSE,-37.79802306,144.9210982
17678,https://toiletmap.gov.au/toilet/17678,Toilet 12 : Exhibition Street & Little Lonsdale Street,Exhibition Street,Melbourne,Victoria,,FALSE,FALSE,-37.80960716,144.9694373
17704,https://toiletmap.gov.au/toilet/17704,Romsey Skate Park,White Avenue,Romsey,Victoria,3434,FALSE,FALSE,-37.3553037,144.7438843
17706,https://toiletmap.gov.au/toilet/17706,Victoria Street,Lithgow Street,Abbotsford,Victoria,3067,FALSE,FALSE,-37.81008229,144.9984169
17708,https://toiletmap.gov.au/toilet/17708,Agricultral Showgrounds - North End,Bank Street,Cobram,Victoria,3644,TRUE,FALSE,-35.9199045,145.6533101
17710,https://toiletmap.gov.au/toilet/17710,Cobram Scott Reserve - Oval - East End,Karook Street,Cobram,Victoria,3644,TRUE,FALSE,-35.91107804,145.6567862
17716,https://toiletmap.gov.au/toilet/17716,Yarrawonga Town Hall,Orr Street,Yarrawonga South,Victoria,3730,TRUE,TRUE,-36.01343966,146.0051147
17718,https://toiletmap.gov.au/toilet/17718,Yarrawonga Yacht Club Foreshore Reserve,River Road,Yarrawonga,Victoria,3730,TRUE,FALSE,-36.00228999,146.0216235
17722,https://toiletmap.gov.au/toilet/17722,Yarrawonga Showgrounds - West End,Gilmore Street,Yarrawonga,Victoria,3730,TRUE,FALSE,-36.01928635,146.0067465
17724,https://toiletmap.gov.au/toilet/17724,Yarrawonga Aerodrome,John Duigan Drive,Yarrawonga South,Victoria,3730,TRUE,FALSE,-36.02558812,146.018688
17726,https://toiletmap.gov.au/toilet/17726,Bundalong Boat Ramp,Cnr Basley and Pasley Street,Bundalong,Victoria,3730,TRUE,FALSE,-36.03312772,146.1755735
17728,https://toiletmap.gov.au/toilet/17728,Nathalia Showgrounds,Park Street,Nathalia,Victoria,3638,TRUE,FALSE,-36.05240778,145.2138799
17732,https://toiletmap.gov.au/toilet/17732,Apex Park,Melville Street,Numurkah,Victoria,3636,TRUE,FALSE,-36.09646188,145.4428536
17736,https://toiletmap.gov.au/toilet/17736,Numurkah Showgrounds - South End,Tunnock Road,Numurkah,Victoria,3636,TRUE,FALSE,-36.09405758,145.4460351
17740,https://toiletmap.gov.au/toilet/17740,Numurkah Sports Centre Netball Complex,McNamara Drive,Numurkah,Victoria,3636,TRUE,FALSE,-36.09790822,145.4399005
17742,https://toiletmap.gov.au/toilet/17742,Cemetery,Madeline Street,Numurkah,Victoria,3636,TRUE,FALSE,-36.09803093,145.4513274
17744,https://toiletmap.gov.au/toilet/17744,Picola Railway Park,Moran Street,Picola,Victoria,3639,TRUE,FALSE,-35.99932437,145.1105418
17746,https://toiletmap.gov.au/toilet/17746,Lions Park,Murray Valley Highway,Strathmerton,Victoria,3641,TRUE,FALSE,-35.92601656,145.4803259
17748,https://toiletmap.gov.au/toilet/17748,Tungamah Memorial Hall Comfort Facility,42 Barr Street,Tungamah,Victoria,3728,TRUE,FALSE,-36.16468824,145.8773555
17752,https://toiletmap.gov.au/toilet/17752,Tungamah Tennis Reserve,Bailey Street,Tungamah,Victoria,3728,TRUE,FALSE,-36.16662395,145.8784101
17754,https://toiletmap.gov.au/toilet/17754,Waaia Recreation Reserve,McDonald Street,Waaia,Victoria,3637,TRUE,FALSE,-36.05136735,145.3309925
17856,https://toiletmap.gov.au/toilet/17856,Toongabbie Village Green,Cowen Street,Toongabbie,Victoria,3856,TRUE,TRUE,-38.05935897,146.6234676
17858,https://toiletmap.gov.au/toilet/17858,Toongabbie Reserve,Traralgon-Maffra Road,Toongabbie,Victoria,3856,TRUE,FALSE,-38.06042814,146.630475
17966,https://toiletmap.gov.au/toilet/17966,Pearl Park,Main Street,Foster,Victoria,3960,TRUE,FALSE,-38.65099243,146.1992327
17974,https://toiletmap.gov.au/toilet/17974,Dingee Railway Station,Bendigo-Pyramid Road,Dingee,Victoria,3571,TRUE,FALSE,-36.36880389,144.2314273
17984,https://toiletmap.gov.au/toilet/17984,Ellerslie Bridge,Hopkins Highway,Ellerslie,Victoria,3265,TRUE,FALSE,-38.15043,142.68338
17996,https://toiletmap.gov.au/toilet/17996,Everton Caravan Park,2121 Great Alpine Road,Everton,Victoria,3678,TRUE,TRUE,-36.4329842,146.5418121
18010,https://toiletmap.gov.au/toilet/18010,Bairnsdale Recreation Reserve (Block 2),20 Macarthur Street,Bairnsdale,Victoria,3875,FALSE,FALSE,-37.83154289,147.6250383
